Extension (m),Force (N)
-5.5957225e-06,-1.3231948e-08
-5.5955225e-06,-1.3227837e-08
-5.5953205e-06,-1.3221485e-08
-5.595117e-06,-1.32164e-08
-5.5949113e-06,-1.3214488e-08
-5.5947044e-06,-1.3214649e-08
-5.594496e-06,-1.321682e-08
-5.5942874e-06,-1.3219477e-08
-5.5940786e-06,-1.3218621e-08
-5.5938704e-06,-1.3214418e-08
-5.593663e-06,-1.3211329e-08
-5.5934574e-06,-1.3210434e-08
-5.5932537e-06,-1.3212075e-08
-5.5930523e-06,-1.3218194e-08
-5.592854e-06,-1.3223521e-08
-5.5926594e-06,-1.3223666e-08
-5.592468e-06,-1.3221457e-08
-5.5922796e-06,-1.3220378e-08
-5.592095e-06,-1.322254e-08
-5.591913e-06,-1.322665e-08
-5.591734e-06,-1.32293465e-08
-5.591558e-06,-1.322715e-08
-5.5913847e-06,-1.3220031e-08
-5.5912146e-06,-1.3212872e-08
-5.5910473e-06,-1.321028e-08
-5.590883e-06,-1.32133735e-08
-5.5907212e-06,-1.3219454e-08
-5.590562e-06,-1.3225316e-08
-5.590405e-06,-1.3229694e-08
-5.59025e-06,-1.3231145e-08
-5.590097e-06,-1.3229312e-08
-5.589946e-06,-1.3225901e-08
-5.589797e-06,-1.322365e-08
-5.58965e-06,-1.3222905e-08
-5.589504e-06,-1.322252e-08
-5.589358e-06,-1.3222616e-08
-5.589212e-06,-1.3224091e-08
-5.5890646e-06,-1.3225827e-08
-5.588915e-06,-1.3227685e-08
-5.588763e-06,-1.3231181e-08
-5.5886076e-06,-1.3235846e-08
-5.588449e-06,-1.3236674e-08
-5.588287e-06,-1.3232497e-08
-5.588121e-06,-1.32280595e-08
-5.587952e-06,-1.32279245e-08
-5.5877795e-06,-1.3231042e-08
-5.587605e-06,-1.32318885e-08
-5.587427e-06,-1.3228866e-08
-5.587246e-06,-1.3226277e-08
-5.587062e-06,-1.3227456e-08
-5.5868736e-06,-1.3229241e-08
-5.586681e-06,-1.3227258e-08
-5.586483e-06,-1.32219125e-08
-5.58628e-06,-1.3217713e-08
-5.5860733e-06,-1.3216709e-08
-5.5858627e-06,-1.3216241e-08
-5.5856494e-06,-1.3214027e-08
-5.5854343e-06,-1.32128575e-08
-5.585217e-06,-1.3215887e-08
-5.5849987e-06,-1.3222637e-08
-5.5847795e-06,-1.32306495e-08
-5.5845603e-06,-1.3237131e-08
-5.584341e-06,-1.3239547e-08
-5.5841224e-06,-1.3238153e-08
-5.583904e-06,-1.32360265e-08
-5.583686e-06,-1.3233998e-08
-5.583468e-06,-1.3230671e-08
-5.5832515e-06,-1.3227029e-08
-5.583036e-06,-1.3223619e-08
-5.582822e-06,-1.322023e-08
-5.5826104e-06,-1.3217435e-08
-5.582401e-06,-1.3217088e-08
-5.5821947e-06,-1.3218697e-08
-5.5819914e-06,-1.3220324e-08
-5.581791e-06,-1.3222088e-08
-5.5815935e-06,-1.32220945e-08
-5.581399e-06,-1.32201645e-08
-5.581208e-06,-1.3220117e-08
-5.5810196e-06,-1.3222803e-08
-5.5808346e-06,-1.3227038e-08
-5.5806527e-06,-1.3229954e-08
-5.580473e-06,-1.322962e-08
-5.5802952e-06,-1.32262e-08
-5.5801183e-06,-1.32205775e-08
-5.5799424e-06,-1.3216777e-08
-5.5797664e-06,-1.3217807e-08
-5.579589e-06,-1.3222264e-08
-5.5794103e-06,-1.3227674e-08
-5.579229e-06,-1.3233729e-08
-5.5790447e-06,-1.3238973e-08
-5.578858e-06,-1.3240946e-08
-5.5786677e-06,-1.3238485e-08
-5.5784753e-06,-1.3232148e-08
-5.578281e-06,-1.3224914e-08
-5.578086e-06,-1.32200935e-08
-5.57789e-06,-1.3219154e-08
-5.577694e-06,-1.3222958e-08
-5.5774976e-06,-1.3226953e-08
-5.5773016e-06,-1.3226122e-08
-5.577106e-06,-1.32225795e-08
-5.576912e-06,-1.32186795e-08
-5.576718e-06,-1.3216902e-08
-5.576526e-06,-1.3217951e-08
-5.5763344e-06,-1.32194335e-08
-5.5761425e-06,-1.3219049e-08
-5.57595e-06,-1.3218348e-08
-5.575757e-06,-1.3218873e-08
-5.5755613e-06,-1.3219435e-08
-5.575363e-06,-1.3218562e-08
-5.575162e-06,-1.3216447e-08
-5.574958e-06,-1.321428e-08
-5.5747505e-06,-1.32137465e-08
-5.5745413e-06,-1.3215251e-08
-5.5743294e-06,-1.3220635e-08
-5.5741166e-06,-1.322741e-08
-5.5739033e-06,-1.3231945e-08
-5.573689e-06,-1.3233721e-08
-5.5734754e-06,-1.3232957e-08
-5.5732617e-06,-1.3230911e-08
-5.573049e-06,-1.3229888e-08
-5.572837e-06,-1.3230418e-08
-5.572626e-06,-1.3231644e-08
-5.572417e-06,-1.3230759e-08
-5.5722107e-06,-1.3227166e-08
-5.572007e-06,-1.32241595e-08
-5.571806e-06,-1.32231905e-08
-5.5716073e-06,-1.3222552e-08
-5.571411e-06,-1.3223135e-08
-5.571216e-06,-1.3225275e-08
-5.571023e-06,-1.3227657e-08
-5.5708306e-06,-1.3229534e-08
-5.570638e-06,-1.3231322e-08
-5.570446e-06,-1.3231828e-08
-5.570253e-06,-1.3229462e-08
-5.5700593e-06,-1.3224304e-08
-5.5698647e-06,-1.3219426e-08
-5.56967e-06,-1.3219291e-08
-5.5694754e-06,-1.3223077e-08
-5.5692813e-06,-1.3227762e-08
-5.569088e-06,-1.3233403e-08
-5.5688965e-06,-1.3237175e-08
-5.568707e-06,-1.3236135e-08
-5.5685196e-06,-1.3232531e-08
-5.5683354e-06,-1.3230673e-08
-5.5681535e-06,-1.32304265e-08
-5.5679734e-06,-1.32302045e-08
-5.567795e-06,-1.3229985e-08
-5.5676187e-06,-1.3229172e-08
-5.5674427e-06,-1.322901e-08
-5.567268e-06,-1.32300535e-08
-5.5670935e-06,-1.3230321e-08
-5.5669193e-06,-1.32283775e-08
-5.5667438e-06,-1.32247235e-08
-5.5665664e-06,-1.3221288e-08
-5.5663863e-06,-1.3219484e-08
-5.566203e-06,-1.3217806e-08
-5.5660166e-06,-1.321799e-08
-5.5658265e-06,-1.3222314e-08
-5.5656337e-06,-1.3227681e-08
-5.565438e-06,-1.3229018e-08
-5.565241e-06,-1.3226824e-08
-5.5650416e-06,-1.322364e-08
-5.564841e-06,-1.3220734e-08
-5.5646406e-06,-1.3219754e-08
-5.564439e-06,-1.3219733e-08
-5.564238e-06,-1.3218573e-08
-5.5640367e-06,-1.3215624e-08
-5.5638347e-06,-1.3212292e-08
-5.5636333e-06,-1.3211231e-08
-5.563432e-06,-1.3213266e-08
-5.5632304e-06,-1.3215137e-08
-5.5630294e-06,-1.32156694e-08
-5.562829e-06,-1.3217832e-08
-5.562628e-06,-1.3223672e-08
-5.5624273e-06,-1.3230779e-08
-5.562226e-06,-1.3234166e-08
-5.562024e-06,-1.323297e-08
-5.5618216e-06,-1.3229997e-08
-5.561619e-06,-1.322675e-08
-5.5614173e-06,-1.3223505e-08
-5.561216e-06,-1.3221748e-08
-5.5610153e-06,-1.3222643e-08
-5.560815e-06,-1.3222933e-08
-5.5606156e-06,-1.3219979e-08
-5.5604173e-06,-1.32166225e-08
-5.56022e-06,-1.321685e-08
-5.5600235e-06,-1.3220779e-08
-5.5598275e-06,-1.3224894e-08
-5.5596324e-06,-1.3226847e-08
-5.559437e-06,-1.3226864e-08
-5.5592413e-06,-1.322416e-08
-5.559045e-06,-1.3220832e-08
-5.5588466e-06,-1.3219562e-08
-5.558646e-06,-1.32191005e-08
-5.5584433e-06,-1.3218551e-08
-5.5582377e-06,-1.3218116e-08
-5.5580304e-06,-1.3219525e-08
-5.5578207e-06,-1.3222245e-08
-5.5576093e-06,-1.3223312e-08
-5.5573955e-06,-1.3221321e-08
-5.55718e-06,-1.3219882e-08
-5.5569626e-06,-1.3220723e-08
-5.5567443e-06,-1.3222078e-08
-5.556526e-06,-1.32231515e-08
-5.5563087e-06,-1.3223379e-08
-5.556092e-06,-1.3222745e-08
-5.555878e-06,-1.322168e-08
-5.555666e-06,-1.3220254e-08
-5.5554574e-06,-1.3218227e-08
-5.555252e-06,-1.3215853e-08
-5.55505e-06,-1.321466e-08
-5.5548526e-06,-1.3214852e-08
-5.5546593e-06,-1.3213557e-08
-5.55447e-06,-1.3210827e-08
-5.554284e-06,-1.3208471e-08
-5.554101e-06,-1.3208065e-08
-5.55392e-06,-1.3210103e-08
-5.5537403e-06,-1.3212835e-08
-5.5535616e-06,-1.3215044e-08
-5.5533824e-06,-1.3217156e-08
-5.5532028e-06,-1.3220948e-08
-5.5530227e-06,-1.3224177e-08
-5.5528417e-06,-1.3226272e-08
-5.55266e-06,-1.3228819e-08
-5.552477e-06,-1.32302205e-08
-5.552294e-06,-1.3229164e-08
-5.552111e-06,-1.3226095e-08
-5.5519276e-06,-1.3222355e-08
-5.5517444e-06,-1.3219109e-08
-5.55156e-06,-1.3216544e-08
-5.5513756e-06,-1.3214769e-08
-5.5511905e-06,-1.321369e-08
-5.5510036e-06,-1.3214141e-08
-5.5508162e-06,-1.3214865e-08
-5.550627e-06,-1.3214533e-08
-5.550437e-06,-1.3215899e-08
-5.5502464e-06,-1.3221356e-08
-5.550055e-06,-1.3227635e-08
-5.5498626e-06,-1.3228727e-08
-5.5496694e-06,-1.3226318e-08
-5.5494747e-06,-1.3225384e-08
-5.5492783e-06,-1.3225812e-08
-5.5490796e-06,-1.3225252e-08
-5.5488786e-06,-1.322248e-08
-5.548675e-06,-1.3220868e-08
-5.548469e-06,-1.3221785e-08
-5.54826e-06,-1.3222757e-08
-5.5480496e-06,-1.3222554e-08
-5.5478367e-06,-1.3221546e-08
-5.5476225e-06,-1.3222085e-08
-5.5474075e-06,-1.3225176e-08
